Strategy,BufferSize,ReadMixPercent,LogicalReads,LogicalWrites,PhysicalReads,PhysicalWrites
LRU,10,100,1000,0,1000,0
LRU,10,75,1000,237,1000,232
LRU,10,50,1000,498,1000,488
LRU,10,25,1000,746,1000,731
LRU,10,0,1000,1000,1000,980
LRU,20,100,1000,0,1000,0
LRU,20,75,1000,245,1000,240
LRU,20,50,1000,510,1000,501
LRU,20,25,1000,742,1000,727
LRU,20,0,1000,1000,1000,980
LRU,50,100,1000,0,1000,0
LRU,50,75,1000,256,1000,247
LRU,50,50,1000,489,1000,465
LRU,50,25,1000,779,1000,739
LRU,50,0,1000,1000,1000,950
MRU,10,100,1000,0,550,0
MRU,10,75,1000,248,550,128
MRU,10,50,1000,488,550,237
MRU,10,25,1000,752,550,374
MRU,10,0,1000,1000,550,500
MRU,20,100,1000,0,550,0
MRU,20,75,1000,252,550,133
MRU,20,50,1000,506,550,261
MRU,20,25,1000,764,550,384
MRU,20,0,1000,1000,550,500
MRU,50,100,1000,0,550,0
MRU,50,75,1000,237,550,128
MRU,50,50,1000,481,550,243
MRU,50,25,1000,774,550,387
MRU,50,0,1000,1000,550,500
